date,pmb,text
1903-08-19,465,"Riva"
1903-08-19,954,"Trient"
1902-07-03,91441,"Patsch"
1902-07-03,759,"Schönberg"
1902-07-03,91243,"Mieders"
1902-07-03,591,"Matrei"
1902-07-03,608,"Brenner"
1925-02-09,96,"Meißl"
1913-09-09,,"Nymphenburger"
1913-09-09,44493,"Tutzing"
1913-09-09,,"Prager"
1913-07-24,45260,"Brioni"
1912-06-07,302,"Mariahilferstraße"
1912-06-07,,"Holländer"
1918-12-29,666,"Ukraine"
1913-07-30,92507,"Saluga"
1895-03-07,50530,"Landstraße"
1895-03-07,465,"Riva"
1924-04-23,462,"Venedig"
1925-05-14,189,"Semmering"
1903-06-20,45258,"München"
1903-06-20,20,"Volksth."
1902-07-17,50,"Wien"
1924-03-02,169,"Pötzleinsdorf"
1903-06-08,885,"Lugano"
1909-12-26,168,"Berlin"
1903-08-25,96,"Meissl u. Schadn"
1900-11-24,168,"Berlin"
1912-01-26,168,"Berlin"
1911-11-03,50,"Wien"
1911-11-03,30,"Salzburg"
1912-08-02,92472,"Rancon"
1912-08-02,,"Wiener"
1918-12-01,92189,"Cirkusgasse"
1918-12-01,92460,"Praterstraße"
1918-12-01,90771,"Grinzing"
1918-12-01,574,"Kahlenberg"
1918-12-01,50,"Wien"
1918-12-01,45258,"München"
1903-01-01,40694,"Gentzg."
1903-01-01,90771,"Grinzing"
1903-01-01,92292,"hohe Warte"
1926-12-04,168,"Berlin"
1910-10-20,14,"Burgtheater"
1913-09-21,170,"Neuwaldegg"
1913-09-21,92533,"Sophienalpe"
1913-09-21,90913,"Hütteldorf"
1912-08-16,52316,"Val catena"
1911-11-17,50,"Wien"
1911-11-17,168,"Berlin"
1911-11-17,92399,"Meridianpark"
1918-12-15,,"Kopenhagner"
1902-09-06,92027,"Vorder-"
1902-09-06,91255,"Mitterstoder"
1903-08-31,8,"Prater"
1903-08-31,92593,"Waldsteingarten"
1903-08-31,92593,"W.garten"
1925-02-21,,"oesterreichischen"
1924-03-16,169,"Pötzleinsdorf"
1891-07-27,662,"B."
1907-05-09,168,"Berlin"
1907-05-09,49582,"Chemnitz"
1904-12-25,169,"Pötzleinsdorf"
1916-02-27,65558,"Durazzo"
1917-04-19,,"Dolomitenfront"
1915-12-02,264,"Serbiens"
1915-12-02,151,"Deutschland"
1915-12-02,41240,"Oesterreich"
1915-12-02,,"wienerischen"
1915-12-02,,"deutschen"
1929-04-08,211,"Aegypten"
1929-04-08,,"Sudanreise"
1929-04-08,38174,"Hollywood"
1921-08-10,652,"Prag"
1921-08-10,895,"Strobl"
1922-11-11,91093,"Laaerberg"
1930-01-13,168,"Berlin"
1930-01-13,182,"Paris"
1923-10-26,318,"Japan"
1920-09-27,,"amerik."
1920-09-27,90593,"England"
1920-09-27,,"Ungarische"
1920-09-27,,"Budapester"
1922-11-05,46374,"Lundenburg"
1922-11-05,50,"Wien"
1922-11-05,50,"Wien"
1921-08-04,,"holländ."
1921-08-04,44016,"Holland"
1888-05-21,182,"Paris"
1930-01-07,168,"Berlin"
1930-01-07,182,"Paris"
1921-06-29,169,"Pötzleinsdorf"
1921-06-29,176,"Dornbacher Park"
1921-06-29,91641,"Salmannsdorf"
1921-06-29,243,"Sommerhaidenweg"
1921-06-29,169,"Pötzleinsdorf"
1921-06-29,,"Berner"
1915-12-16,,"bessarab."
1915-12-16,,"Schweizer"
1915-12-16,182,"Paris"
1915-12-16,,"Londoner"
1915-12-16,,"belgischen"
1907-02-14,265,"Dalmatien"
1904-12-31,50,"Wien"
1904-12-31,186,"Lueg"
1930-08-23,,"Wiener"
1930-08-23,91887,"Th."
1928-02-22,168,"Berlin"
1929-03-15,,"Potsdamerplatzgegend"
1931-07-11,91887,"Thalheim"
1931-07-11,90538,"Donau"
